Union,Independent Departments,['Department of Atomic Energy' 'http://www.dae.nic.in'],Attached Offices,['Atomic Minerals Directorate (AMD)' 'http://www.amd.gov.in' 'AMD']
Union,Independent Departments,['Department of Atomic Energy' 'http://www.dae.nic.in'],Attached Offices,['Directorate of Construction Services and Estate Management (DCSEM)' 'http://www.dcsem.gov.in' 'DCSEM']
Union,Independent Departments,['Department of Atomic Energy' 'http://www.dae.nic.in'],Attached Offices,['Directorate of Purchase and Stores' 'http://www.dpsdae.gov.in' '']
Union,Independent Departments,['Department of Atomic Energy' 'http://www.dae.nic.in'],Autonomous / Apex Institutions,['Atomic Energy Central School Narwapahar Jharkhand' 'http://aecsnarwapahar.nic.in' '']
Union,Independent Departments,['Department of Atomic Energy' 'http://www.dae.nic.in'],Autonomous / Apex Institutions,['Atomic Energy Education Society (AEES)' 'http://www.aees.gov.in' 'AEES']
Union,Independent Departments,['Department of Atomic Energy' 'http://www.dae.nic.in'],Autonomous / Apex Institutions,['Atomic Energy Central School Anupuram. Tamil Nadu' 'http://www.aecsanupuram.tn.nic.in' '']
Union,Independent Departments,['Department of Atomic Energy' 'http://www.dae.nic.in'],Autonomous / Apex Institutions,['Atomic Energy Central School Anupuram. Tamil Nadu' 'http://www.aecsanupuram.tn.nic.in' '']
Union,Independent Departments,['Department of Atomic Energy' 'http://www.dae.nic.in'],Autonomous / Apex Institutions,['Institute for Plasma Research (IPR)' 'http://www.ipr.res.in' 'IPR']
Union,Independent Departments,['Department of Atomic Energy' 'http://www.dae.nic.in'],Autonomous / Apex Institutions,['Institute of Mathematical Sciences (IMSc) Chennai Tamil nadu' 'http://www.imsc.res.in' 'IMSc']
Union,Independent Departments,['Department of Atomic Energy' 'http://www.dae.nic.in'],Autonomous / Apex Institutions,['Institute of Physics (IOP) Bhubaneswar Odisha' 'http://www.iopb.res.in' 'IOP']
Union,Independent Departments,['Department of Atomic Energy' 'http://www.dae.nic.in'],Autonomous / Apex Institutions,['Saha Institute of Nuclear Physics (SINP) Kolkatta' 'http://www.saha.ac.in' 'SINP']
Union,Independent Departments,['Department of Atomic Energy' 'http://www.dae.nic.in'],Autonomous / Apex Institutions,['Tata Institute of Fundamental Research (TIFR)' 'http://www.tifr.res.in' 'TIFR']
Union,Independent Departments,['Department of Atomic Energy' 'http://www.dae.nic.in'],Autonomous / Apex Institutions,['National Centre for Biological Sciences (NCBS)' 'http://www.ncbs.res.in' 'NCBS']
Union,Independent Departments,['Department of Atomic Energy' 'http://www.dae.nic.in'],Autonomous / Apex Institutions,['Homi Bhabha Centre for Science Education (HBCSE)' 'http://www.hbcse.tifr.res.in' 'HBCSE']
Union,Independent Departments,['Department of Atomic Energy' 'http://www.dae.nic.in'],Autonomous / Apex Institutions,['National Centre for Radio Astrophysics (NCRA) Tata Institute of Fundamental Research (TIFR)' 'http://www.ncra.tifr.res.in' 'NCRATIFR']
Union,Independent Departments,['Department of Atomic Energy' 'http://www.dae.nic.in'],Autonomous / Apex Institutions,['International Centre for Theoretical Sciences (ICTS) TIFR Mumbai Maharashtra' 'http://www.icts.res.in' 'ICTS']
Union,Independent Departments,['Department of Atomic Energy' 'http://www.dae.nic.in'],Autonomous / Apex Institutions,['Indian Lattice Gauge Theory Initiative TIFR Mumbai' 'http://www.ilgti.tifr.res.in' '']
Union,Independent Departments,['Department of Atomic Energy' 'http://www.dae.nic.in'],Autonomous / Apex Institutions,['TIFR Centre For Applicable Mathematics Bangalore' 'http://math.tifrbng.res.in' '']
Union,Independent Departments,['Department of Atomic Energy' 'http://www.dae.nic.in'],Autonomous / Apex Institutions,['Department of Theoretical Physics Tata Institute of Fundamental Research (TIFR) Mumbai' 'http://theory.tifr.res.in' 'TIFR']
Union,Independent Departments,['Department of Atomic Energy' 'http://www.dae.nic.in'],Autonomous / Apex Institutions,['School of Technology and Computer Science Tata Institute of Fundamental Research (TIFR) Mumbai' 'http://www.tcs.tifr.res.in' 'TIFR']
Union,Independent Departments,['Department of Atomic Energy' 'http://www.dae.nic.in'],Autonomous / Apex Institutions,['National Centre for Biological Sciences (NCBS)' 'http://www.ncbs.res.in' 'NCBS']
Union,Independent Departments,['Department of Atomic Energy' 'http://www.dae.nic.in'],Autonomous / Apex Institutions,['Homi Bhabha Centre for Science Education (HBCSE)' 'http://www.hbcse.tifr.res.in' 'HBCSE']
Union,Independent Departments,['Department of Atomic Energy' 'http://www.dae.nic.in'],Autonomous / Apex Institutions,['National Centre for Radio Astrophysics (NCRA) Tata Institute of Fundamental Research (TIFR)' 'http://www.ncra.tifr.res.in' 'NCRATIFR']
Union,Independent Departments,['Department of Atomic Energy' 'http://www.dae.nic.in'],Autonomous / Apex Institutions,['International Centre for Theoretical Sciences (ICTS) TIFR Mumbai Maharashtra' 'http://www.icts.res.in' 'ICTS']
Union,Independent Departments,['Department of Atomic Energy' 'http://www.dae.nic.in'],Autonomous / Apex Institutions,['Indian Lattice Gauge Theory Initiative TIFR Mumbai' 'http://www.ilgti.tifr.res.in' '']
Union,Independent Departments,['Department of Atomic Energy' 'http://www.dae.nic.in'],Autonomous / Apex Institutions,['TIFR Centre For Applicable Mathematics Bangalore' 'http://math.tifrbng.res.in' '']
Union,Independent Departments,['Department of Atomic Energy' 'http://www.dae.nic.in'],Autonomous / Apex Institutions,['Department of Theoretical Physics Tata Institute of Fundamental Research (TIFR) Mumbai' 'http://theory.tifr.res.in' 'TIFR']
