Judiciary,Supreme Court of India,['Case Status - pending and disposed cases by  Supreme Court and High Court' 'http://www.courtnic.nic.in' ''],
Judiciary,Supreme Court of India,['Display Board Supreme Court of India' 'http://courtsdisplayboard.nic.in' ''],
Judiciary,Supreme Court of India,['Indian Law Institute (ILI) Delhi' 'http://www.ili.ac.in' 'ILI'],
Judiciary,Supreme Court of India,['Supreme Court of India' 'http://supremecourt.gov.in' ''],['Case Status and Daily Orders of Supreme Court of India' 'http://courtnic.nic.in/courtnicsc.asp' '']
Judiciary,Supreme Court of India,['Supreme Court of India' 'http://supremecourt.gov.in' ''],['Judgment Information system of Supreme Court of India' 'http://judis.nic.in/supremecourt/chejudis.asp' '']
Judiciary,Supreme Court of India,['Supreme Court of India' 'http://supremecourt.gov.in' ''],['Supreme Court Legal Services Committee' 'http://sclsc.nic.in' '']
Judiciary,Supreme Court of India,['The International Centre for Alternative Dispute Resolution (ICADR) Regional Centre Hyderabad' 'http://icadr.telangana.gov.in' 'ICADR'],
Judiciary,High Courts,['Advocate General Punjab' 'http://advocategeneral.punjab.gov.in' ''],
Judiciary,High Courts,['Bombay High Court' 'http://bombayhighcourt.nic.in' ''],['District and Subordinate Judiciary of Southgoa' 'http://southgoacourts.nic.in' '']
Judiciary,High Courts,['Bombay High Court' 'http://bombayhighcourt.nic.in' ''],['Maharashtra Judicial Academy & Indian Mediation Centre & Training Institute' 'http://mja.gov.in' '']
Judiciary,High Courts,['Calcutta High Court' 'http://www.calcuttahighcourt.gov.in' ''],['High Court Circuit Bench Port Blair Andaman and Nicobar' 'http://andssw1.and.nic.in/ilran' '']
Judiciary,High Courts,['Calcutta High Court' 'http://www.calcuttahighcourt.gov.in' ''],['West Bengal Judicial Academy' 'http://www.wbja.nic.in' '']
Judiciary,High Courts,['Causelists of Supreme Court and all High Courts' 'http://clists.nic.in/viewlist' ''],
Judiciary,High Courts,['Chhattisgarh High Court' 'http://highcourt.cg.gov.in' ''],['District Court Raipur' 'http://districtcourt-raipur.cg.nic.in' '']
Judiciary,High Courts,['Delhi High Court' 'http://delhihighcourt.nic.in' ''],['Delhi High Court Legal Services Committee' 'http://www.dhclsc.org' '']
Judiciary,High Courts,['Delhi High Court' 'http://delhihighcourt.nic.in' ''],['Delhi State Judicial Academy (DJA)' 'http://judicialacademy.nic.in' 'DJA']
Judiciary,High Courts,['Delhi High Court' 'http://delhihighcourt.nic.in' ''],['National Law Universities (NLU) Delhi' 'http://www.nludelhi.ac.in' 'NLU']
Judiciary,High Courts,['eLegalix - Allahabad High Court Judgment Information System' 'http://elegalix.allahabadhighcourt.in' ''],
Judiciary,High Courts,['Gauhati High Court' 'http://ghconline.gov.in' ''],['Barpeta District Judiciary (District Court) Assam' 'http://barpetajudiciary.gov.in' 'District Court']
Judiciary,High Courts,['Gauhati High Court' 'http://ghconline.gov.in' ''],['Bongaigaon District Judiciary (District Court) Assam' 'http://bongaigaonjudiciary.gov.in' 'District Court']
Judiciary,High Courts,['Gauhati High Court' 'http://ghconline.gov.in' ''],['Cachar District Judiciary Assam' 'http://cacharjudiciary.gov.in' '']
Judiciary,High Courts,['Gauhati High Court' 'http://ghconline.gov.in' ''],['District Court Dhemaji Assam' 'http://dhemajijudiciary.gov.in' '']
Judiciary,High Courts,['Gauhati High Court' 'http://ghconline.gov.in' ''],['District Court Sivasagar Assam' 'http://sivasagarjudiciary.gov.in' '']
Judiciary,High Courts,['Gauhati High Court' 'http://ghconline.gov.in' ''],['District CourtTinsukia Assam' 'http://tinsukiajudiciary.gov.in' '']
Judiciary,High Courts,['Gauhati High Court' 'http://ghconline.gov.in' ''],['Gauhati High Court Agartala Bench' 'http://tsu.trp.nic.in/highcourt' '']
Judiciary,High Courts,['Gauhati High Court' 'http://ghconline.gov.in' ''],['Gauhati High Court Aizawl Bench' 'http://ghcazlbench.nic.in' '']
Judiciary,High Courts,['Gauhati High Court' 'http://ghconline.gov.in' ''],['Gauhati High Court Kohima Bench' 'http://kohimahighcourt.gov.in' '']
Judiciary,High Courts,['Gauhati High Court' 'http://ghconline.gov.in' ''],['Golaghat District Judiciary Assam' 'http://golaghatjudiciary.gov.in' '']
Judiciary,High Courts,['Gauhati High Court' 'http://ghconline.gov.in' ''],['Hailakandi District Judiciary Assam' 'http://hailakandijudiciary.gov.in' '']
Judiciary,High Courts,['Gauhati High Court' 'http://ghconline.gov.in' ''],['Judgments - Imphal Bench Gauhati High Court' 'http://hcmjudgment.man.nic.in' '']
Judiciary,High Courts,['Gauhati High Court' 'http://ghconline.gov.in' ''],['Judicial Academy Assam and North Eastern Judicial Officers Training Institute' 'http://jaassam.gov.in' '']
Judiciary,High Courts,['Gauhati High Court' 'http://ghconline.gov.in' ''],['Kamrup District Judiciary' 'http://kamrupjudiciary.gov.in' '']
Judiciary,High Courts,['Gauhati High Court Itanagar Permanent Bench Naharlagun' 'http://ghcitanagar.gov.in' ''],
Judiciary,High Courts,['Gujarat High Court' 'http://gujarathighcourt.nic.in' ''],['Case Information System High Court of Gujarat' 'http://gujarathc-casestatus.nic.in' '']
Judiciary,High Courts,['Gujarat High Court' 'http://gujarathighcourt.nic.in' ''],['Gujarat District Courts' 'http://gujcourts.guj.nic.in' '']
Judiciary,High Courts,['High Court for the state of Telangana' 'http://tshc.gov.in' ''],['Judicial Academy for the States of Telangana and Andhra Pradesh' 'https://ja.tap.nic.in' '']
Judiciary,High Courts,['High Court of Andhra Pradesh' 'http://hc.ap.nic.in' ''],['Andhra Pradesh State Judicial Academy' 'http://apja.ap.nic.in' '']
Judiciary,High Courts,['High Court of Bombay at Goa' 'http://hcbombayatgoa.nic.in' ''],
Judiciary,High Courts,['High Court of Judicature Allahabad' 'http://www.allahabadhighcourt.in' ''],
Judiciary,High Courts,['High Court of Karnataka' 'http://hck.gov.in' ''],
Judiciary,High Courts,['High Court of Kerala Recruitment' 'http://hckrecruitment.nic.in' ''],
Judiciary,High Courts,['High Court of Manipur Imphal' 'http://hcmimphal.nic.in' ''],['Manipur Judicial Academy' 'https://manipurja.nic.in' '']
Judiciary,High Courts,['High Court of Meghalaya' 'http://meghalayahighcourt.nic.in' ''],['Meghalaya State Judicial Academy' 'http://meghsja.gov.in' '']
Judiciary,High Courts,['High Court of Punjab and Haryana Chandigarh' 'http://highcourtchd.gov.in' ''],['Chandigarh State Judicial Academy' 'http://cja.gov.in' '']
Judiciary,High Courts,['High Court of Punjab and Haryana Chandigarh' 'http://highcourtchd.gov.in' ''],['District Courts Haryana' 'http://www.haryanajudiciary.gov.in' '']
Judiciary,High Courts,['High Court of Punjab and Haryana Chandigarh' 'http://highcourtchd.gov.in' ''],['Rajiv Gandhi National University of Law (RGNUL) Punjab' 'http://rgnul.ac.in' 'RGNUL']
Judiciary,High Courts,['High Court of Punjab and Haryana Chandigarh' 'http://highcourtchd.gov.in' ''],['Society for Centralized Recruitment in Subordinate Courts under Punjab and Haryana High Court' 'https://www.sssc.gov.in' '']
Judiciary,High Courts,['High Court of Tripura Agartala' 'http://thc.nic.in' ''],
Judiciary,High Courts,['High Court of Uttarakhand Nainital' 'http://highcourtofuttarakhand.gov.in' ''],
Judiciary,High Courts,['Himachal Pradesh High Court Shimla' 'http://hphighcourt.nic.in' ''],['District Courts of Himachal Pradesh' 'https://districts.ecourts.gov.in/hp' '']
Judiciary,High Courts,['Jammu and Kashmir High Court' 'http://jkhighcourt.nic.in' ''],['Jammu and Kashmir State Judicial Academy' 'http://jkja.nic.in' '']
Judiciary,High Courts,['Jammu and Kashmir High Court' 'http://jkhighcourt.nic.in' ''],['Sadder Court Srinagar Jammu and Kashmir' 'http://dcourtsgr.nic.in' '']
Judiciary,High Courts,['Judgments Information system - Supreme courts and High Courts' 'http://judis.gov.in' ''],
Judiciary,High Courts,['Karnataka High Court' 'http://karnatakajudiciary.kar.nic.in' ''],
Judiciary,High Courts,['Kerala High Court' 'http://highcourtofkerala.nic.in' ''],['Kerala Mediation Centre High Court of Kerala' 'http://keralamediation.gov.in' '']
Judiciary,High Courts,['Kerala High Court' 'http://highcourtofkerala.nic.in' ''],['National University of Advanced Legal Studies (NUALS) Kerala' 'http://www.nuals.ac.in' 'NUALS']
Judiciary,High Courts,['Madhya Pradesh High Court Jabalpur' 'http://www.mphc.gov.in' ''],
Judiciary,High Courts,['Madras High Court' 'http://www.hcmadras.tn.nic.in' ''],['Madurai Bench of Madras High Court' 'http://www.hcmadras.tn.nic.in/mduhist.htm' '']
Judiciary,High Courts,['Madras High Court' 'http://www.hcmadras.tn.nic.in' ''],['Recruitment Portal of Madras High Court' 'https://www.mhc.tn.gov.in' '']
Judiciary,High Courts,['Madras High Court' 'http://www.hcmadras.tn.nic.in' ''],['Sesquicentennial Celebrations Madras High Court' 'http://mhc150.tn.nic.in' '']
Judiciary,High Courts,['Madras High Court' 'http://www.hcmadras.tn.nic.in' ''],['Tamil Nadu State Judicial Academy' 'http://www.tnsja.tn.gov.in' '']
Judiciary,High Courts,['Mediation centre bangalore' 'http://www.nyayadegula.kar.nic.in' ''],
