Cat1,Org1,Cat2,Cat3/Org2,Org3
State & UTs,['Andaman and Nicobar Island (UT)'],Apex Bodies,"[""Governor's Office(Raj Bhavan) (1)""]","[""Lt. Gen. Governor's Office, Andaman and Nicobar Island"", 'http://www.andaman.gov.in/web/guest/lieutenant-governor']"
State & UTs,['Andaman and Nicobar Island (UT)'],Apex Bodies,['Official Portal of State Government (1)'],"['Andaman and Nicobar Administration (UT)', 'http://www.andaman.gov.in']"
State & UTs,['Andaman and Nicobar Island (UT)'],Apex Bodies,['Online Citizen Services Portal (1)'],"['Online Citizen Services Portal, Andaman and Nicobar Administration', 'http://andssw1.and.nic.in/onlineportal']"
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Agriculture Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,['Andaman & Nicobar Tourism'],[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Andaman Public Works Department (APWD), Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Animal Husbandry and Veterinary Services Department, Andaman & Nicobar']","['Animal Husbandry and Veterinary Services Department, Andaman and Nicobar', 'http://ahvs.andaman.gov.in', '']"
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Anti Corruption and Vigilance Department, Andaman & Nicobar']","['Anti Corruption and Vigilance Unit, Andaman and Nicobar', 'http://db.and.nic.in/acvu/home.html', '']"
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Civil Supplies and Consumer Affairs Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Cooperative Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Economics & Statistics Department, Andaman & Nicobar']","['Directorate of Economics and Statistics, Andaman and Nicobar', 'http://www.and.nic.in/stats', '']"
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Education Department, Andaman & Nicobar']","['Mahatma Gandhi Government College, Mayabunder', 'http://www.and.nic.in/mggc', '']"
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Election Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Electricity Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Environment & Forest Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Finance Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Fisheries Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Health Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Industries Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Information, Publicity and Tourism Department, Andaman & Nicobar']","['Search Circulars - Andaman and Nicobar Administration', 'http://www.and.nic.in/circulars', '']"
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Information Technology Department, Andaman & Nicobar']","['Online Citizen Services Portal, Andaman and Nicobar Administration', 'http://andssw1.and.nic.in/onlineportal', '']"
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Labour, Employment & Training Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Law & Judiciary Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Planning Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Police Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Relief and Rehabilitation & Disaster Management Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Revenue Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Rural Development & Panchayat Department, Andaman']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Science & Technology Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Shipping & Ports Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Social Welfare Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Transport Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Tribal welfare Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Youth Affairs, Sports and Culture Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Zilla Parishad Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Board / Undertaking,Boards / Undertakings,"['Andaman and Nicobar Islands Integrated Development Corporation Limited (ANIIDCO)', 'http://aniidco.and.nic.in', 'ANIIDCO ']"
State & UTs,['Andaman and Nicobar Island (UT)'],Attached & Subordinate Offices,Directorates / Commissionerates,"['Animal Husbandry and Veterinary Services Department, Andaman and Nicobar', 'http://ahvs.andaman.gov.in', '']"
State & UTs,['Andaman and Nicobar Island (UT)'],Attached & Subordinate Offices,Directorates / Commissionerates,"['Directorate of Economics and Statistics, Andaman and Nicobar', 'http://www.and.nic.in/stats', '']"
State & UTs,['Andaman and Nicobar Island (UT)'],District,"['Nicobar', 'https://nicobars.andaman.nic.in']",
State & UTs,['Andaman and Nicobar Island (UT)'],District,"['North and Middle Andaman', 'https://northmiddle.andaman.nic.in']",
State & UTs,['Andaman and Nicobar Island (UT)'],District,"['South Andaman', 'https://southandaman.nic.in']",
State & UTs,['Andhra Pradesh'],Apex Bodies,"[""Governor's Office(Raj Bhavan) (2)""]","['Governor of Andhra Pradesh and Telangana - Raj Bhavan, Hyderabad', 'http://governor.tsap.nic.in']"
State & UTs,['Andhra Pradesh'],Apex Bodies,"[""Governor's Office(Raj Bhavan) (2)""]","['Governor of Andhra Pradesh - Raj Bhavan, Vijayawada', 'http://www.rajbhavan.ap.gov.in']"
State & UTs,['Andhra Pradesh'],Apex Bodies,['Official Portal of State Government (1)'],"['Official Portal of Andhra Pradesh Government', 'http://www.ap.gov.in']"
State & UTs,['Andhra Pradesh'],Apex Bodies,['Online Citizen Services Portal (1)'],"['APOnline - Citizen Services Portal, Andhra Pradesh', 'https://onlineap.meeseva.gov.in/CitizenPortal/UserInterface/Citizen/Home.aspx']"
State & UTs,['Andhra Pradesh'],Apex Bodies,['State Election Comission (2)'],"['Andhra Pradesh State Election Commission', 'http://sec.ap.gov.in']"
State & UTs,['Andhra Pradesh'],Apex Bodies,['State Election Comission (2)'],"['State Election Commission (SEC), Andhra Pradesh', 'http://www.apsec.gov.in']"
State & UTs,['Andhra Pradesh'],Apex Bodies,['State Planning Commission (1)'],"['Approach to the 12th Five Year Plan, Planning Commission', 'http://12thplan.gov.in']"
State & UTs,['Andhra Pradesh'],Apex Bodies,['State Information Commission (1)'],"['State Information Commission (SIC), Andhra Pradesh', 'http://www.sic.ap.gov.in']"
State & UTs,['Andhra Pradesh'],Apex Bodies,['State Public Service Commission (2)'],"['Andhra Pradesh Public Service Commission', 'https://www.psc.ap.gov.in']"
State & UTs,['Andhra Pradesh'],Apex Bodies,['State Public Service Commission (2)'],"['Online Applications, Andhra Pradesh Public Service Commission', 'https://www.psc.ap.gov.in']"
State & UTs,['Andhra Pradesh'],Apex Bodies,['State Consumer Disputes Redressal Commission (1)'],"['Andhra Pradesh State Consumer Dispute Redressal Commission', 'http://scdrc.ap.nic.in']"
State & UTs,['Andhra Pradesh'],Apex Bodies,['State Electricity Regulatory Commission (1)'],"['Andhra Pradesh Electricity Regulatory Commission', 'http://www.aperc.gov.in']"
State & UTs,['Andhra Pradesh'],Department,"['Agriculture and Co-operation Department, Andhra Pradesh']","['Agricultural Marketing Department', 'http://market.ap.nic.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Agriculture and Co-operation Department, Andhra Pradesh']","['Agriculture Resource Information Systems and Networking (AGRISNET), Andhra Pradesh', 'http://www.apagrisnet.gov.in', 'AGRISNET ']"
State & UTs,['Andhra Pradesh'],Department,"['Agriculture and Co-operation Department, Andhra Pradesh']","['Andhra Pradesh Dairy Development Cooperative Federaion Limited', 'http://www.apddcf.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Agriculture and Co-operation Department, Andhra Pradesh']","['Andhra Pradesh Horticulture', 'http://horticulture.ap.nic.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Agriculture and Co-operation Department, Andhra Pradesh']","['Andhra Pradesh Micro Irrigation Project (APMIP)', 'http://www.horticulturedept.ap.gov.in', 'APMIP ']"
State & UTs,['Andhra Pradesh'],Department,"['Agriculture and Co-operation Department, Andhra Pradesh']","['Andhra Pradesh State Seeds Development Corporation Limited', 'http://www.apseeds.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Agriculture and Co-operation Department, Andhra Pradesh']","['Department of Cooperation, Government of Andhra Pradesh', 'http://apcooperation.nic.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Agriculture and Co-operation Department, Andhra Pradesh']","['D-Krishi - Aadhaar Enabled Seed Distribution System of Andhra Pradesh', 'https://eseed.ap.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Agriculture and Co-operation Department, Andhra Pradesh']","['Dr. Y.S.R Horticultural University, Andhra Pradesh', 'http://www.drysrhu.edu.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Agriculture and Co-operation Department, Andhra Pradesh']","['Sericulture Department, Andhra Pradesh', 'http://seri.ap.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Agriculture and Co-operation Department, Andhra Pradesh']","['The Krishi Vigyan Kendra, Lohit, Arunachal Pradesh', 'http://www.kvklohit.org', '']"
State & UTs,['Andhra Pradesh'],Department,"['Animal husbandry and Fisheries Department, Andhra Pradesh']","['Andhra Pradesh Livestock Development Agency (APLDA)', 'http://aplda.ap.gov.in', 'APLDA ']"
State & UTs,['Andhra Pradesh'],Department,"['Animal husbandry and Fisheries Department, Andhra Pradesh']","['Department of Fisheries, Govt. of Andhra Pradesh', 'http://www.fisheries.ap.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Animal husbandry and Fisheries Department, Andhra Pradesh']","['Sri Venkateswara Veterinary University, Tirupati, Andhra Pradesh', 'https://svvu.edu.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Backward Classes Welfare Department, Andhra Pradesh']",[]
State & UTs,['Andhra Pradesh'],Department,"['Consumer Affairs, Food and Civil Supplies Department, Andhra Pradesh']","['Aadhaar enabled Public Distribution System (AePDS), Andhra Pradesh', 'https://aepos.ap.gov.in/ePos', 'AePDS ']"
State & UTs,['Andhra Pradesh'],Department,"['Consumer Affairs, Food and Civil Supplies Department, Andhra Pradesh']","['Andhra Pradesh State Civil Supplies Corporation', 'http://apscsc.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Consumer Affairs, Food and Civil Supplies Department, Andhra Pradesh']","['Paddy Procurement System, Andhra Pradesh', 'http://www.paddyprocurement.ap.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Consumer Affairs, Food and Civil Supplies Department, Andhra Pradesh']","['Andhra Pradesh State Consumer Dispute Redressal Commission', 'http://scdrc.ap.nic.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Consumer Affairs, Food and Civil Supplies Department, Andhra Pradesh']","['Food Grains Procurement System (National Food Security Act), Andhra Pradesh', 'http://www.nfsa.ap.gov.in', 'National Food Security Act ']"
State & UTs,['Andhra Pradesh'],Department,"['Consumer Affairs, Food and Civil Supplies Department, Andhra Pradesh']","['Legal Metrology Department, Govt. of Andhra Pradesh', 'http://aplm.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Energy Department, Andhra Pradesh']","['Andhra Pradesh Electricity Regulatory Commission', 'http://www.aperc.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Energy Department, Andhra Pradesh']","['Andhra Pradesh Power Generation Corporation Limited (APGENCO)', 'http://apgenco.gov.in', 'APGENCO ']"
State & UTs,['Andhra Pradesh'],Department,"['Energy Department, Andhra Pradesh']","['Northern Power Distribution Company of Andhra Pradesh Limited (APNPDCL)', 'http://www.tgnpdcl.in', 'APNPDCL ']"
State & UTs,['Andhra Pradesh'],Department,"['Energy Department, Andhra Pradesh']","['Southern Power Distribution Company of Andhra Pradesh Limited (APSPDCL)', 'http://www.apspdcl.in', 'APSPDCL ']"
State & UTs,['Andhra Pradesh'],Department,"['Energy Department, Andhra Pradesh']","['Southern Power Distribution Company of Telangana Limited', 'https://www.tssouthernpower.com', '']"
State & UTs,['Andhra Pradesh'],Department,"['Energy Department, Andhra Pradesh']","['Transmission Corporation of Andhra Pradesh Limited (APTRANSCO)', 'https://www.aptransco.co.in', 'APTRANSCO ']"
State & UTs,['Andhra Pradesh'],Department,"['Energy Department, Andhra Pradesh']","['Vidyut Ombudsman, Government of Andhra Pradesh', 'http://www.vidyutombudsman.ap.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Environment, Forests, Science and Technology Department, Andhra Pradesh']","['Andhra Pradesh Forest Development Corporation Limited (APFDC)', 'http://www.apfdcl.com', 'APFDC ']"
State & UTs,['Andhra Pradesh'],Department,"['Environment, Forests, Science and Technology Department, Andhra Pradesh']","['Andhra Pradesh State Biodiversity Board', 'http://apbiodiversity.ap.nic.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Environment, Forests, Science and Technology Department, Andhra Pradesh']","['Cyclone Warning Centre, Visakhapatnam, Andhra Pradesh', 'http://cwcvsk.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Finance Department, Andhra Pradesh']","['Andhra Pradesh Centre for Financial Systems and Services', 'http://apcfss.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Finance Department, Andhra Pradesh']","['Andhra Pradesh State Financial Corporation (APSFC)', 'http://www.apsfc.com', 'APSFC ']"
State & UTs,['Andhra Pradesh'],Department,"['Finance Department, Andhra Pradesh']","['E-Procurement, Andhra Pradesh', 'http://www.eprocurement.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Finance Department, Andhra Pradesh']","['Institute of Insurance and Risk Management (IIRM), Andhra Pradesh', 'http://www.iirmworld.org.in', 'IIRM ']"
State & UTs,['Andhra Pradesh'],Department,"['Finance Department, Andhra Pradesh']","['Public Private Partnerships (PPP), Finance Department, Andhra Pradesh', 'https://ppp.cgg.gov.in', 'PPP ']"
State & UTs,['Andhra Pradesh'],Department,"['Finance Department, Andhra Pradesh']","['Public Private Partnership (PPP) Cell, Finance Department, Andhra Pradesh', 'https://ppp.cgg.gov.in', 'PPP ']"
State & UTs,['Andhra Pradesh'],Department,"['General Administration Department, Andhra Pradesh']","['Andhra Pradesh Human Resource Development Institute (APHRDI)', 'https://www.aphrdi.ap.gov.in', 'APHRDI ']"
State & UTs,['Andhra Pradesh'],Department,"['General Administration Department, Andhra Pradesh']","['Anti Corruption Bureau, Andhra Pradesh', 'http://acbap.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['General Administration Department, Andhra Pradesh']","['Centre for Good Governance, Andhra Pradesh', 'http://cgg.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['General Administration Department, Andhra Pradesh']","['Government Order Issue Register, Secretariat, Andhra Pradesh', 'http://goir.ap.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['General Administration Department, Andhra Pradesh']","['Online Applications, Andhra Pradesh Public Service Commission', 'https://www.psc.ap.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Health, Medical and Family Welfare Department, Andhra Pradesh']","['Aarogya Raksha, Govt. of Andhra Pradesh', 'http://www.ehs.ap.gov.in/web/guest/arogyaraksha', '']"
State & UTs,['Andhra Pradesh'],Department,"['Health, Medical and Family Welfare Department, Andhra Pradesh']","['Andhra Pradesh Medical Services and Infrastructure Development Corporation (APMSIDC)', 'http://msidc.ap.nic.in', 'APMSIDC ']"
State & UTs,['Andhra Pradesh'],Department,"['Health, Medical and Family Welfare Department, Andhra Pradesh']","['Andhra Pradesh Nurses ,Midwives ,Auxiliary Nurse-Midwives & Health Visitors Council', 'http://nmcouncil.ap.nic.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Health, Medical and Family Welfare Department, Andhra Pradesh']","['Andhra Pradesh Nurses, Midwives, Auxiliary Nurse-Midwives and health Visitors Council', 'http://hmis.ap.nic.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Health, Medical and Family Welfare Department, Andhra Pradesh']","['Andhra Pradesh Pharmacy Council', 'http://appharmacycouncil.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Health, Medical and Family Welfare Department, Andhra Pradesh']","['Andhra Pradesh State AIDS Control Society', 'https://apsacs.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Health, Medical and Family Welfare Department, Andhra Pradesh']","['Commissioner of Family Welfare', 'http://cfw.ap.nic.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Health, Medical and Family Welfare Department, Andhra Pradesh']","['Dr NTR Vaidya Seva Health Insurance Scheme, Govt. of Andhra Pradesh', 'http://www.ntrvaidyaseva.ap.gov.in/web/guest/ntr-vaidya-seva-scheme', '']"
State & UTs,['Andhra Pradesh'],Department,"['Health, Medical and Family Welfare Department, Andhra Pradesh']","['Dr.YSR Aarogyasri Health Insurance Scheme, Government of Andhra Pradesh', 'http://www.ysraarogyasri.ap.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Health, Medical and Family Welfare Department, Andhra Pradesh']","['Employees Health Scheme, Government of Andhra Pradesh', 'http://www.ehs.ap.gov.in/web/guest/ehs', '']"
State & UTs,['Andhra Pradesh'],Department,"['Health, Medical and Family Welfare Department, Andhra Pradesh']","['Institute of Preventive Medicine (IPM), Andhra Pradesh', 'http://ipm.ap.nic.in', 'IPM ']"
State & UTs,['Andhra Pradesh'],Department,"['Health, Medical and Family Welfare Department, Andhra Pradesh']","['National Rural Health Mission (NRHM), Andhra Pradesh', 'http://cfw.ap.nic.in/nrhm', 'NRHM ']"
State & UTs,['Andhra Pradesh'],Department,"['Health, Medical and Family Welfare Department, Andhra Pradesh']","['Nizams Institute Of Medical Sciences, Hyderabad, Andhra Pradesh', 'http://nims.edu.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Health, Medical and Family Welfare Department, Andhra Pradesh']","['Sri Venkateswara Institute Of Medical Sciences', 'http://svimstpt.ap.nic.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Health, Medical and Family Welfare Department, Andhra Pradesh']","['Working Journalists Health Scheme, Govt. of Andhra Pradesh', 'http://www.ehs.ap.gov.in/web/guest/wjhs', '']"
State & UTs,['Andhra Pradesh'],Department,"['Higher Education Department, Andhra Pradesh']","['Acharya Nagarjuna University, Centre for Distance Education', 'http://www.anucde.info', '']"
State & UTs,['Andhra Pradesh'],Department,"['Higher Education Department, Andhra Pradesh']","['Andhra Pradesh Board of Intermediate Education', 'https://bie.ap.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Higher Education Department, Andhra Pradesh']","['Andhra Pradesh Residential Educational Institutions Society (APREIS)', 'http://apresidential.cgg.gov.in/indexedu3.aspx', 'APREIS ']"
State & UTs,['Andhra Pradesh'],Department,"['Higher Education Department, Andhra Pradesh']","['Andhra Pradesh State Literacy Mission Authority', 'http://apslma.ap.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Higher Education Department, Andhra Pradesh']","['Andhra University', 'http://www.andhrauniversity.edu.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Higher Education Department, Andhra Pradesh']","['Board of Intermediate Education, Andhra Pradesh', 'http://bieap.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Higher Education Department, Andhra Pradesh']","['Center for Educational Development of Minorities', 'http://cedm.tg.nic.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Higher Education Department, Andhra Pradesh']","['Centre for Economic and Social Studies', 'http://www.cess.ac.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Higher Education Department, Andhra Pradesh']","['Commissionerate of Collegiate Education, Andhra Pradesh', 'http://www.apcce.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Higher Education Department, Andhra Pradesh']","['Department of Technical Education, Andhra Pradesh', 'http://dteap.nic.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Higher Education Department, Andhra Pradesh']","['Directorate of Government Examinations, Government of Andhra Pradesh', 'http://bseap.org', '']"
State & UTs,['Andhra Pradesh'],Department,"['Higher Education Department, Andhra Pradesh']","['Directorate Of Medical Education', 'http://dme.ap.nic.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Higher Education Department, Andhra Pradesh']","['Dravidian University, Kuppam, Andhra Pradesh', 'http://www.dravidianuniversity.ac.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Higher Education Department, Andhra Pradesh']","['Dr. Marri Channa Reddy Human Resource Development Institute Of Andhra Pradesh', 'https://www.mcrhrdi.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Higher Education Department, Andhra Pradesh']","['Dr.N.T.R. University of Health Sciences, Vijayawada, Andhra Pradesh', 'http://ntruhs.ap.nic.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Higher Education Department, Andhra Pradesh']","['International Institute of Information Technology, Hyderabad (IIIT-HYD)', 'http://www.iiit.ac.in', 'IIIT-HYD ']"
State & UTs,['Andhra Pradesh'],Department,"['Higher Education Department, Andhra Pradesh']","['Jawaharlal Nehru Technological University, Anantapur, Andhra Pradesh', 'http://jntua.ac.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Higher Education Department, Andhra Pradesh']","['Jawaharlal Nehru Technological University (JNTU)', 'http://www.jntuh.ac.in', 'JNTU ']"
State & UTs,['Andhra Pradesh'],Department,"['Higher Education Department, Andhra Pradesh']","['Kakatiya University, Andhra Pradesh', 'http://www.kakatiya.ac.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Higher Education Department, Andhra Pradesh']","['Nagarjuna Government College, Nalgonda, Andhra Pradesh', 'http://www.ngcnalgonda.org', '']"
State & UTs,['Andhra Pradesh'],Department,"['Higher Education Department, Andhra Pradesh']","['Nagarjuna University', 'http://www.nagarjunauniversity.ac.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Higher Education Department, Andhra Pradesh']","['National Academy of Legal Studies and Research University of Law (NALSAR)', 'http://nalsar.ac.in', 'NALSAR ']"
State & UTs,['Andhra Pradesh'],Department,"['Higher Education Department, Andhra Pradesh']","['Osmania University', 'http://www.osmania.ac.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Higher Education Department, Andhra Pradesh']","['Potti Sreeramulu Telugu University', 'http://teluguuniversity.ac.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Higher Education Department, Andhra Pradesh']","['Regional Institute of English, South India (RIESI)', 'http://riesi.kar.nic.in', 'RIESI ']"
State & UTs,['Andhra Pradesh'],Department,"['Higher Education Department, Andhra Pradesh']","['Sri Venkateswara University, Directorate of Distance Education, Tirupati, Andhra Pradesh', 'http://www.svudde.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Higher Education Department, Andhra Pradesh']","['Sri Venkateswara University, Tirupati', 'http://www.svuniversity.ac.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Higher Education Department, Andhra Pradesh']","['State Board of Technical Education and Training, Andhra Pradesh', 'http://sbtetap.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Higher Education Department, Andhra Pradesh']","['UGC Academic Staff College, Andhra University', 'http://auasc.org', '']"
State & UTs,['Andhra Pradesh'],Department,"['Higher Education Department, Andhra Pradesh']","['Vikrama Simhapuri University, Nellore', 'http://www.simhapuriuniv.ac.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Home Department, Andhra Pradesh']","['Andhra Pradesh Police', 'http://appolice.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Home Department, Andhra Pradesh']","['Andhra Pradesh State Level Police Recruitment Board', 'http://slprb.ap.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Home Department, Andhra Pradesh']","['Chittoor District Police, Andhra Pradesh', 'http://chittoorpolice.ap.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Home Department, Andhra Pradesh']","['Prakasam District Police, Andhra Pradesh', 'http://prakasampolice.ap.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Home Department, Andhra Pradesh']","['Vijayawada City Police, Andhra Pradesh', 'http://vijayawadapolice.ap.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Home Department, Andhra Pradesh']","['Visakhapatnam City Police, Andhra Pradesh', 'http://vizagcitypolice.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Home Department, Andhra Pradesh']","['Andhra Pradesh Prisons Department', 'http://apprisons.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Home Department, Andhra Pradesh']","['Andhra Pradesh Special Police (APSP)', 'http://apsp.ap.gov.in', 'APSP ']"
State & UTs,['Andhra Pradesh'],Department,"['Home Department, Andhra Pradesh']","['Andhra Pradesh State Disaster Management Authority (APSDMA)', 'http://www.apsdma.ap.gov.in', 'APSDMA ']"
State & UTs,['Andhra Pradesh'],Department,"['Home Department, Andhra Pradesh']","['Coastal Security Police, Andhra Pradesh', 'http://www.apcsp.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Home Department, Andhra Pradesh']","['Cyberabad Police Commissionerate', 'http://www.cyberabadpolice.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Home Department, Andhra Pradesh']","['Disaster Response and Fire Services Department, Govt. of Andhra Pradesh', 'http://fireservices.ap.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Home Department, Andhra Pradesh']","['Drugs Control Administration, Government of Andhra Pradesh', 'http://dca.ap.nic.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Home Department, Andhra Pradesh']","['eGazette of Andhra Pradesh', 'http://gazette.ap.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Home Department, Andhra Pradesh']","['Hyderabad City Police', 'http://hyderabadpolice.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Home Department, Andhra Pradesh']","['Hyderabad Traffic Police', 'http://www.htp.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Housing Department, Andhra Pradesh']","['Andhra Pradesh Housing Board', 'http://www.aphb.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Housing Department, Andhra Pradesh']","['Andhra Pradesh State Housing Corporation Limited (APSHCL)', 'http://housing.cgg.gov.in', 'APSHCL ']"
State & UTs,['Andhra Pradesh'],Department,"['Housing Department, Andhra Pradesh']","['Directorate of Town and Country Planning, Government of Andhra Pradesh', 'http://dtcp.ap.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Housing Department, Andhra Pradesh']","['National Academy of Constuction, Hyderabad, Andhra pradesh', 'http://www.nac.edu.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Industries and Commerce Department, Andhra Pradesh']","['Andhra Pradesh Economic Development Board', 'http://apedb.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Industries and Commerce Department, Andhra Pradesh']","['Andhra Pradesh Handicrafts Development Corporation Limited', 'http://www.lepakshihandicrafts.gov.in', '']"
State & UTs,['Andhra Pradesh'],Department,"['Industries and Commerce Department, Andhra Pradesh']","['Andhra Pradesh Mineral Development Corporation Limited', 'http://www.apmdc.ap.gov.in', '']"
